publish_date,start_date,end_date,motivation,description,expected_change,percentage_trade,author,debit_currency,debit_amount,credit_currency,credit_amount
2022-01-01,2022-04-06,2022-07-31,Zclassic will go up on Tuesday,Six again church building. Whatever debate Democrat base machine leader order. Course fish prepare time training bank. Firm necessary along treat represent mission often.,50,78,23,Litecoin,19540.785730000003,Bitcoin,18245.983707
2021-05-20,2022-09-27,2022-12-27,Tether will go up on Saturday,Board build consumer control girl realize what memory. Ready interest hard determine Mr last us still. Me few around cold receive.,219,59,31,Litecoin,3787.859152,Euro,12729.732207000001
2021-06-27,2022-08-29,2023-05-18,Nxt will go up on Tuesday,Hair film company view area. Some finally industry back rich speak them side. Body future record stock risk. Friend everything myself gun effect throughout forward.,166,85,61,US-Dollar,1557.1975,Yen,7965.36189
2021-10-03,2022-03-10,2022-07-06,Ethereum will go down in December,Ahead team industry red. Animal poor production between nearly. Himself water age last foreign red attack those. Pass east try leader. Center sometimes without impact future.,15,53,74,Euro,535.6709999999999,Bitcoin Cash,11259.309711
2022-02-16,2022-04-19,2023-03-15,Ubiq will go up in August,Best these test tough. Challenge example nor reason positive. News dinner none activity trade season. Since right operation tough. Agency newspaper soon attack.,38,71,51,Yen,21861.644882,Dogecoin,672.430444
2021-06-03,2022-01-05,2023-03-29,BlackCoin will go up in June,Stuff near morning beautiful. Rate foreign after military. Others rest mean through may. Song these room talk sit. They audience church majority. Method four your long everything guess.,208,4,43,Ethereum,109338.777675,Canadian-Dollar,23363.129225
2022-04-05,2022-04-26,2022-07-21,Decred will go up in June,Life source special successful seem. Interview financial lot moment yes process here. Where benefit every relationship theory decade rise. Population foreign never truth.,55,97,97,Litecoin,98058.072135,US-Dollar,133012.058426
2022-05-13,2022-06-06,2022-09-14,Peercoin will go up in April,Sense radio develop trade knowledge into concern. Whatever event term treat public new. Republican law clearly coach know.,76,30,57,Bitcoin,16966.31144,Yen,59651.87368
2022-05-13,2023-02-25,2023-04-02,Feathercoin will go up in July,Either lay reveal your. Impact she five these someone act. Message team dream one popular. Sea past particular PM PM. Action tax close bar school forward safe. Fight wall seek ten specific floor.,13,79,23,US-Dollar,31227.542802,Litecoin,10783.587284000001
2021-09-05,2022-09-14,2023-03-01,Dogecoin will go up on Saturday,Practice on deal success. Affect center price spring certainly town. Next poor response trouble. Share be open the fill hard better.,21,33,4,Litecoin,183.897903,Yuán,13.078923
2022-05-02,2022-07-28,2022-09-12,Ethereum Classic will go down in June,Positive upon left quickly why place. At cost prepare together page long.,234,78,42,Canadian-Dollar,8469.55082,Dogecoin,6318.910205
2021-12-08,2022-01-27,2022-01-31,Dogecoin will go up on Friday,Her series large town stuff around. Majority apply air Mrs. Book garden instead perhaps.,169,55,87,Euro,17276.155482,Canadian-Dollar,85586.05803
2022-03-27,2022-11-16,2023-01-31,Waves Platform will go up on Wednesday,Role writer career various. Leader student add according majority civil. Save low by mission enough. Drive field happen series their matter.,154,7,96,Euro,22121.712662,Litecoin,2218.534008
2021-11-21,2022-07-24,2022-11-26,Ubiq will go down on Saturday,Bag vote month remember style data green. Argue mean east sort ok charge. World second technology work. Industry last strategy firm receive explain. Most little big hard section option.,166,2,62,Dogecoin,6.121824,Euro,33.329015999999996
2022-02-01,2022-05-15,2023-04-19,Namecoin will go up on Sunday,Throw over with. Dog watch of. Will forward recognize apply. Two beat sister dinner. Improve exactly employee drive. Information put forward especially you.,180,39,75,US-Dollar,6775.799939999999,Bitcoin,61365.573216000004
2021-10-08,2023-01-31,2023-05-01,Ubiq will go up on Thursday,Local worry resource. Military near group hospital wonder provide modern also. North they today none offer maintain morning.,187,78,9,Bitcoin,20506.657944,Yen,6182.386559999999
2021-12-23,2022-03-10,2023-05-10,Omni will go down in March,Day leg moment hold for. True list such into appear necessary deep. Especially it full part out market. Model stand glass source page kitchen.,30,51,98,Bitcoin Cash,8.273745000000002,Yen,59.74113
2022-03-26,2023-05-14,2023-05-17,Zclassic will go down in September,Smile report person travel but discussion. Outside necessary should what.,159,45,31,Litecoin,31649.530934000002,Euro,50073.190083
2022-01-23,2023-03-10,2023-04-07,Coinye will go up in September,Quite city so nation population back. When success also affect collection. Thousand gun available design. Region hot few reflect best none.,123,49,60,Ethereum,688.61538,Bitcoin Cash,43582.502226
2021-06-19,2021-11-24,2022-07-26,Ripple will go down in December,Capital rich difference project if fall second sell. Include point wall pressure position.,202,90,44,Dogecoin,202455.151038,Canadian-Dollar,26019.629922
2021-12-22,2023-01-31,2023-03-29,Gridcoin will go up on Wednesday,Military within speech wait well likely five. Outside Congress surface book. Southern example exist yeah and education scientist. Man more artist hope sport add.,222,8,7,Yuán,12899.373552000001,Bitcoin,61613.869463999996
2021-12-05,2023-02-23,2023-04-23,Litecoin will go up in February,Hit wait move firm life discussion detail. Parent move good project business yeah on relationship. Standard difficult week just listen easy law.,12,17,94,Litecoin,5338.56378,Bitcoin,24398.333148
2021-06-08,2022-05-12,2022-09-08,AMP will go up in March,Establish increase can sure. Include go law. Result clear sister perhaps. Sell structure get. Huge learn later after. Try ability cultural decide administration. Shoulder grow gun face smile.,30,99,40,Dogecoin,5153.1865020000005,Euro,4213.046046
2021-11-30,2022-02-03,2022-07-29,Emercoin will go down in August,Story town certainly avoid. Will eye big be lose. Friend social message minute against pay must.,169,35,44,Canadian-Dollar,54388.625853,Dogecoin,9220.90779
2022-04-29,2022-05-05,2023-05-10,SwiftCoin will go up on Sunday,Score fear effort much bit. Identify fight tend indicate year may. Even step store argue indeed amount.,213,37,30,Ethereum,38036.86887,Bitcoin Cash,929.4718079999999
2022-01-20,2022-05-10,2022-09-28,SwiftCoin will go up on Monday,School kitchen street rest. Business throughout professional name. Home of American hold offer. Hope key most network.,241,1,72,US-Dollar,1997.33562,Yen,68917.381875
2021-12-12,2023-02-09,2023-02-12,Ethereum Classic will go up on Monday,Simple country beautiful on agency the big. Measure season wait head thing establish. Value occur conference purpose.,215,51,72,Ethereum,16781.79492,US-Dollar,615.1458600000001
2022-02-06,2022-11-09,2022-12-10,Ethereum will go down in March,Speech offer everything ten economy. Message six visit remain the chance major assume. Write first tree particular opportunity.,199,92,10,Litecoin,42234.34614,Euro,78628.01338799999
2022-05-05,2023-05-11,2023-05-14,Coinye will go down in April,Business long meet policy successful health wait. Many garden contain nation. Worry what article read matter west leader.,127,87,9,Bitcoin,752.56396,Canadian-Dollar,8760.06552
2022-01-31,2023-03-09,2023-05-17,SwiftCoin will go down in August,Political difference financial. Charge away with moment others score. For then relate me anything your at. Dog evening never specific once especially.,167,53,39,Canadian-Dollar,23624.93694,Yuán,46209.119832
2021-11-24,2023-01-22,2023-03-14,MazaCoin will go down in October,Deep tell forget table. Rule debate political article president name. Travel direction serious international artist ago.,220,77,75,Bitcoin,11584.734511999999,US-Dollar,1260.2908499999999
2021-09-26,2022-10-01,2023-03-06,Zclassic will go down on Saturday,Could despite culture leader open whatever allow. Security sea claim religious very end.,135,42,55,US-Dollar,5200.353852,Litecoin,1322.6104160000002
2021-10-21,2022-11-05,2023-03-17,Namecoin will go up in February,However husband team now visit accept war. Prove its accept wrong ago who. Necessary usually less scientist tend.,92,68,87,Canadian-Dollar,26137.589932000003,Euro,6324.124083
2022-02-02,2022-09-07,2022-12-02,TRON will go up in February,Let despite every in create player west. Public chance wind exist determine event focus. Will accept personal art way child along.,241,42,18,Canadian-Dollar,10235.727651000001,Dogecoin,720.27675
2022-03-24,2022-11-15,2023-04-29,Bitcoin Cash will go down on Tuesday,Guess common successful language. Nor traditional race station word charge.,87,92,24,Litecoin,13574.404872,Bitcoin Cash,432.163684
2022-02-17,2022-04-15,2022-07-14,Emercoin will go up on Monday,Star movement hit teacher officer. Social possible paper citizen water among crime.,48,19,81,Yen,665.45843,Euro,1066.883125
2021-09-28,2022-02-12,2023-04-08,MazaCoin will go down on Friday,Sister create member moment. State recently budget drop agree. Hand Mr none already also practice beautiful.,53,58,69,Dogecoin,1946.772164,Yen,513.0496
2022-02-22,2023-01-17,2023-03-21,Emercoin will go up on Sunday,Yourself focus same system remain tree. Far job group story anyone answer. Ok first either answer. Bill right understand theory scientist news. Now lose push rich. Member audience set list forward a.,192,33,55,US-Dollar,6413.691597,Litecoin,6367.1553650000005
2022-01-23,2023-02-07,2023-05-03,Sirin Labs will go up in November,Marriage attorney station. Something green direction hospital left accept.,188,3,70,Canadian-Dollar,427.14860100000004,Bitcoin,669.7968900000001
2021-07-07,2023-03-29,2023-05-07,Zclassic will go up on Tuesday,Pressure floor couple yet project strategy. Dog again political we heart bit former. Expect partner with really amount station high.,24,1,30,Bitcoin Cash,77480.188995,Yuán,2842.6662
2021-06-26,2021-10-27,2023-04-04,Tether will go up on Monday,Later hotel technology Mr note. Garden quite body scientist democratic. Life place design wind factor. Action store will network. Prepare tell of. Quite already rise alone pressure her.,105,50,92,Yuán,2064.896825,Bitcoin,9615.449768
2022-04-16,2023-05-16,2023-05-19,SwiftCoin will go down on Saturday,Meet down relationship way financial subject size. Congress everything young structure suffer for.,47,69,40,Dogecoin,5158.358307,US-Dollar,25950.597092000004
2021-10-01,2022-09-27,2022-12-05,Feathercoin will go down in May,Arrive marriage evidence development dinner less. Example identify check teach field. Chance travel operation. Story some table short. Hear his light buy agency little.,100,36,96,Litecoin,25434.0604,Yen,39896.46828
2021-10-13,2022-05-30,2023-04-03,Monero will go down in December,Dog paper second require. Week option outside again. See green PM offer table. Build whom idea in. Finish always together again reflect with tax thus.,78,17,42,Dogecoin,4494.832205000001,Canadian-Dollar,10032.048782
2021-11-20,2022-01-28,2023-05-10,Zcash will go up in July,Involve always popular once. Where cost reveal today. Word include money why other idea. Oil art plant detail spring. Little force seat store real garden.,23,90,96,Yen,204.148595,Litecoin,12460.55228
2022-02-05,2022-09-16,2023-05-08,Emercoin will go up in September,Up bag with upon experience her admit. Agency general organization worry loss he. Eight traditional affect per share hope.,131,95,31,Euro,33398.495859,Litecoin,9275.950537
2021-08-25,2021-12-07,2023-04-21,Gridcoin will go down in December,Door when open summer pressure finally. Its above through agree scene. Money card here receive professional relate world. Help participant word evidence. Scene real kid right form section painting.,238,79,76,Ethereum,39029.116103,Canadian-Dollar,34791.652204000005
2021-12-31,2022-08-05,2022-11-08,Bitcoin will go up on Sunday,Understand heart campaign mother space. Decide commercial eat Republican traditional. Unit act article country coach what.,173,93,84,Yuán,26540.295291,Bitcoin,1583.6676320000001
2021-09-14,2023-01-03,2023-04-14,MazaCoin will go up in April,Rich world understand fast. Mr sit type amount like. Fund herself some bad speak window able. Stage everyone past himself why fall science. White image another fact member heart stand single.,171,73,69,Dogecoin,1879.3346299999998,Yen,459.729088
2022-01-23,2022-10-10,2022-11-17,Dogecoin will go up on Monday,Yeah image type attention. Degree around from manage where doctor drug. Majority strong case. Exist message sell investment camera. Rise perhaps popular.,22,16,30,Ethereum,3182.84967,Yuán,3042.514248
2021-11-27,2023-04-02,2023-04-16,Namecoin will go up in August,Buy model father stage career put agreement. Development reflect son next manager. Commercial approach class worker only way.,214,95,94,Bitcoin,54601.525440000005,Yen,4204.079552
2021-07-05,2023-01-19,2023-02-22,Bitcoin Cash will go down on Saturday,Doctor husband section chance dinner product. Probably win area alone will. Tonight mission pressure fine pattern.,30,11,82,Yen,621.1885440000001,Canadian-Dollar,394.204432
2022-03-04,2022-04-01,2022-11-25,EOS.IO will go up in March,Say question significant turn kid. It ready well study energy room. Thing back score good society citizen guy.,34,88,53,Bitcoin,12219.949456,Canadian-Dollar,39162.95069699999
2022-02-17,2022-09-06,2023-01-09,EOS.IO will go up in October,Camera prove cup school sign. Investment clear wife let old nor. Shoulder out political out so recognize loss. Should threat player American chair. Movie safe arm professional social.,70,40,26,Bitcoin,411.827254,Yuán,27422.05887
2021-08-02,2021-08-22,2023-04-19,SwiftCoin will go down in April,Third agent above film hour son. She forget employee. Green opportunity learn pressure parent suffer however.,203,26,73,Bitcoin,33907.355368000004,Euro,65024.46034199999
2021-11-19,2022-07-12,2023-01-27,Decred will go up on Monday,Hand than mind. Trial score color ten environmental. Through since great popular. Positive information newspaper bad grow. Hard suffer activity change available.,107,9,52,Yen,4212.433467,Ethereum,538.0581599999999
2022-02-10,2022-10-25,2022-11-08,Dogecoin will go up in September,Security include art under hope off. Window everybody should must wonder others. Only again general could song threat son well. Official conference at stay while.,215,29,42,Dogecoin,177.847605,Canadian-Dollar,1548.7375220000001
2021-11-25,2022-11-09,2022-11-17,Dogecoin will go up on Sunday,Enough blood begin reduce. Receive my these. Example himself walk evidence me. Care for return visit reason already. Idea miss Democrat most form soon on.,119,44,4,Litecoin,151.35363900000002,Yuán,12.343881
2021-11-02,2022-09-14,2023-04-12,MazaCoin will go down in November,Focus investment accept recognize drive lose. Difficult view government close. Determine civil brother when community over. Little off none speech no read economy.,40,31,4,Yuán,7.74774,Litecoin,486.26300999999995
2022-03-14,2023-02-18,2023-04-20,Omni will go up in November,Lead suggest south huge happy resource. Yourself discuss degree eye mission. Suffer political week or if order natural. Event inside majority age. Tree stop foreign forget lay.,122,86,26,Yuán,32765.032773000003,Bitcoin,6556.645418
2022-04-20,2022-05-25,2022-06-23,TRON will go up on Thursday,Nearly mind feeling. Medical scene have from hold security. Summer statement language part message save play.,186,43,35,Ethereum,9997.565939999999,Yuán,47251.207514
2021-10-27,2022-03-01,2022-08-08,SwiftCoin will go up in September,Less guess talk figure south fear nothing affect. Price affect third color detail determine whose. Just statement machine street different power travel. Heavy heavy budget serious resource executive.,4,27,42,Canadian-Dollar,6415.80515,Dogecoin,6773.40964
2022-03-13,2022-12-17,2023-02-09,Ethereum Classic will go up in April,Account court dinner think. Thus song open choice public tough anyone. Before eight least each environmental. Feeling government new ball security environmental.,8,76,42,Canadian-Dollar,7635.668156,Dogecoin,11271.281975
2021-12-14,2022-12-09,2023-04-25,TRON will go up on Friday,Rich cost mean test just. Black watch task area leader building senior. Open effect example. Sing wonder almost instead agency public. His kind single according baby.,2,91,26,Bitcoin,4731.5692420000005,Yuán,525.642237
2022-02-04,2023-01-18,2023-01-24,Cardano will go up on Friday,Daughter move purpose often study television poor building. There blue wall spend doctor city style. Media police discuss water difficult Republican.,197,30,9,Canadian-Dollar,14171.938272,Yen,3319.812783
2022-04-02,2022-09-19,2022-10-04,MazaCoin will go up on Friday,Society president establish lose make discuss. Us either modern trip structure. Voice without natural at Mrs.,37,61,32,Canadian-Dollar,12766.138856000001,Litecoin,84560.95704
2022-01-30,2022-10-25,2022-12-31,IOTA will go up in March,Customer participant city large agreement group visit resource. Month resource pay believe. Religious certain side this early stay compare. Into out wait child million audience little.,79,28,42,Canadian-Dollar,10171.029226,Dogecoin,12215.242339999999
2022-01-16,2022-12-29,2023-04-29,Peercoin will go up in November,West analysis professional hope audience notice. Tonight with head million available result. Financial direction science.,184,44,38,Litecoin,65389.16764799999,Canadian-Dollar,5151.775576999999
2022-02-24,2022-10-24,2023-02-14,IOTA will go up in July,Course performance early increase size than vote. Morning man build clearly while forget.,241,13,32,Canadian-Dollar,7683.135056,Litecoin,55375.82447
2021-06-12,2021-12-13,2022-10-18,Bitcoin will go down in June,Pull former ready. Lay practice other American indicate leader. Fly minute machine value.,222,45,40,Ethereum,9968.110649999999,Canadian-Dollar,25581.594818999998
2021-10-01,2022-07-23,2022-08-18,Zclassic will go up on Friday,Focus much collection like much. Sell music budget miss. Attack clearly nor then cup above at. Audience deal drive throughout to team. Myself family house.,10,8,1,Litecoin,29583.88965,Euro,7989.078087999999
2021-10-13,2023-04-02,2023-05-19,Tether will go up in September,Decide commercial with summer specific so itself. Course their near one social note wish although. Woman use significant suddenly behavior. Star or wait responsibility say.,24,99,55,Litecoin,3441.5076410000006,US-Dollar,920.6517640000001
2022-01-24,2023-01-19,2023-05-10,Titcoin will go down on Thursday,Play poor identify stop southern business affect give. Feeling plant that end best learn. Affect fast them drug. Mouth social cultural mother it by.,73,6,53,Bitcoin,11440.7852,Canadian-Dollar,38996.242518
2021-11-10,2023-02-10,2023-04-17,Dash will go up in November,Rich similar investment run. White your gas or require public choice. Now want provide others thought cultural ahead. Light star generation remember off. Sense camera guy money.,181,30,27,Bitcoin,4744.453713999999,Bitcoin Cash,76902.074079
2021-12-30,2023-05-09,2023-05-17,Primecoin will go up in December,Listen discuss executive. Tell yet east participant. Method life dinner lay share give. Put cell analysis suddenly necessary after.,77,98,82,Canadian-Dollar,77.232652,Ethereum,185.108676
2022-04-19,2023-01-22,2023-03-04,Peercoin will go down on Monday,Now beat director note yourself. Beat help save something sister. Huge south than card feel watch teach. Drive over strong arrive accept. Draw serve blood save bar. Capital expert assume.,158,87,15,Ethereum,78898.91812300001,Yen,1020.9077860000001
2021-10-12,2022-08-05,2023-02-05,Litecoin will go up on Sunday,Each rather statement admit. We carry project hospital nation through. Important treat gun glass account. Energy perhaps share.,183,67,74,Bitcoin Cash,9141.111199,Euro,5680.255284
2021-08-01,2022-09-08,2022-09-23,Auroracoin will go up in January,As street recognize full. Energy month fly director study sense thus. Fill seat space man then bring. These without wide. Opportunity them authority strategy may lead.,223,92,60,Ethereum,22652.50878,Bitcoin Cash,33202.721355
2021-11-12,2023-04-27,2023-04-27,Decred will go down on Friday,Interesting tough grow left development dream hard. Agreement scientist claim although thing clear mean. Change remember win police use worry after.,218,47,84,Bitcoin,3394.15576,Yuán,12140.20616
2021-08-18,2023-02-17,2023-04-19,Dogecoin will go up on Sunday,Final early artist control. Field a fine tough. Clearly ten why improve eight mean. Pretty every myself direction serve. Effect vote over into.,119,82,53,Canadian-Dollar,6422.4746939999995,Bitcoin,3604.910608
2022-02-22,2022-07-03,2023-01-27,Nxt will go up in March,Practice customer area network south side green reduce. Production walk election film. Politics trial floor choose sign assume career development. Shoulder church trial charge argue.,38,10,7,Ethereum,12843.551952000002,Yuán,11663.642966000001
2021-06-11,2021-08-09,2021-12-20,NEO will go down in July,Special increase close stock letter party. Program occur piece leave performance most remember once. Or black story difficult. Section show coach turn building clearly past full.,123,24,40,Euro,6953.0500409999995,US-Dollar,26654.168086
2022-04-07,2023-03-18,2023-04-30,DigitalNote will go down in November,One just evening stock. Part quickly film purpose this because organization among. While fish store side which wear. Perhaps action consumer understand operation.,107,83,92,Yuán,1187.54242,Yen,13169.395900000001
2021-12-27,2022-09-29,2022-10-19,Peercoin will go up on Friday,School similar agent anything. Organization exist mission opportunity ten reason child. Outside which our sport follow ask.,85,14,75,Bitcoin,15063.425079999999,US-Dollar,1585.7832899999999
2022-03-07,2023-04-18,2023-04-22,Ethereum Classic will go up on Friday,Professor case visit baby seek. Race significant into option participant policy structure everyone. Administration rate truth military eye manage.,117,72,52,Yen,682.264044,Ethereum,1451.174508
2022-04-03,2022-12-10,2023-02-13,Burstcoin will go up on Monday,Human maintain member fine. Happy entire learn situation bring shake class. Interest professional yet. Those involve thank drop pay lose production.,181,99,42,Canadian-Dollar,6312.60185,Dogecoin,4278.982975
2021-11-29,2022-03-09,2022-10-18,Tether will go up in June,Inside put particularly stop boy. Whose whatever human. Customer direction since cold. Seven rest pattern attack mission. Base manage heart accept. Foreign third return radio discuss half.,66,91,1,Litecoin,1152.020625,Euro,10994.943815
2021-10-24,2023-01-26,2023-05-18,PotCoin will go up on Saturday,Future gun meet chance any. Bed often do family ok she. The local pretty of. Make especially song give. Fly all sometimes box.,116,34,80,US-Dollar,6404.830190000001,Bitcoin Cash,5674.440288
2022-02-01,2023-04-13,2023-05-08,MazaCoin will go up in January,Detail bank suggest reach. Finally alone project team process. Woman scientist group.,159,26,3,Yen,26034.493986,Euro,15857.087838
2022-05-12,2022-07-30,2022-10-30,Bitcoin Cash will go down in March,Door send amount dog just. Back past allow. Thought dream floor relate when. Impact sign important watch central reflect report. Almost name else car. Defense remain reason board.,246,24,79,Yen,1079.039045,Euro,47918.88969
2021-07-02,2022-04-10,2023-02-06,Bitcoin will go up in July,Spend sort player voice. Strong doctor whole energy sing open ahead. Perform property over practice. Specific show add listen rise. Design writer idea world nation.,85,99,35,Litecoin,7116.1362,Ethereum,12808.439639999999
2021-12-17,2022-12-03,2023-04-14,Omni will go down on Wednesday,Star second style go spend. Reason enter first on. Where from anything speak lawyer under response summer. Leave city about paper network ten. Community today religious world certain.,239,15,79,Yen,541.523185,Bitcoin Cash,12055.245646000001
2021-10-02,2022-05-23,2022-09-21,Bytecoin will go up in November,Improve leader pull power by between two. Health reduce six material house there make. Fight establish table two enter explain.,177,85,98,Bitcoin Cash,0.29155500000000006,Yen,61.918321
2022-03-21,2023-02-28,2023-04-08,Dogecoin will go up on Tuesday,Situation generation discover also become. Suddenly push oil get paper suggest trip very. Including north them within collection thus over.,11,72,12,Dogecoin,1154.5065,Bitcoin Cash,75631.575306
2022-02-26,2022-06-14,2022-10-10,Zcash will go up in September,Capital enjoy expect American. Report near follow central throw.,247,29,84,Yuán,22110.760611,Bitcoin,1628.501872
2021-09-08,2023-03-22,2023-03-30,Feathercoin will go up in August,Health stage inside amount community mind land. Little fine meet list near watch. Plan space ok good air agent college foreign. Join try person front. Left something easy law price store.,48,29,73,Yuán,6883.677944,Euro,80728.97072399998
2021-07-25,2022-02-25,2022-07-01,Nxt will go down in April,Fast agent some until political. Debate radio already. Stuff take ok interesting piece. Condition plant particular hear young list.,177,80,64,Yuán,341.936912,Bitcoin Cash,43.84996
2022-02-12,2023-01-08,2023-02-04,Lisk will go down in December,Gas far line once. Under executive worry serious. Music else blue reflect.,80,31,26,Bitcoin,3867.917123,Yuán,15486.391368
2021-10-04,2023-01-10,2023-02-28,DigitalNote will go up in May,Town home series certainly ability indicate. Know stay eat seem. Little institution general buy. Hand across job car. Approach inside company floor themselves mission.,137,99,27,Canadian-Dollar,26601.429719,US-Dollar,23531.742675
2021-12-20,2022-11-22,2023-01-19,Namecoin will go up in March,Time article whatever seven my. Work with after heart. Because peace writer discover.,80,43,40,Euro,4042.0856999999996,Canadian-Dollar,50041.56828
